processRunId,scenario,provider,fork,block,orderPosition,phase,analysisSet,cycleObservationCount,blockValid,semanticGatePassed,performanceComparisonEligible,includedInPerformanceSummary,redeployReadyAllCycles,observedMedian_operationsPerSecond,comparisonMedian_operationsPerSecond,observedMedian_readOperationsPerSecond,comparisonMedian_readOperationsPerSecond,observedMedian_fillOperationsPerSecond,comparisonMedian_fillOperationsPerSecond,observedMedian_latencyP50Nanos,comparisonMedian_latencyP50Nanos,observedMedian_latencyP95Nanos,comparisonMedian_latencyP95Nanos,observedMedian_latencyP99Nanos,comparisonMedian_latencyP99Nanos,observedMedian_measuredLatencySamples,comparisonMedian_measuredLatencySamples
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p1-caffeine,default,caffeine,1,1,1,initial,primary-all-cycles,5,True,True,True,True,True,25185288.95959526,25185288.95959526,25185288.95959526,25185288.95959526,1384144.9244028488,1384144.9244028488,150.0,150.0,320.0,320.0,521.0,521.0,1968496.0,1968496.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p1-caffeine,default,caffeine,1,1,1,redeploy,primary-all-cycles,5,True,True,True,True,True,24719726.27702385,24719726.27702385,24719726.27702385,24719726.27702385,1254486.5142072479,1254486.5142072479,141.0,141.0,301.0,301.0,501.0,501.0,1932772.0,1932772.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p1-caffeine,default,caffeine,1,1,1,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,24926089.869929843,24926089.869929843,24926089.869929843,24926089.869929843,1496836.6491078646,1496836.6491078646,145.5,145.5,315.5,315.5,521.0,521.0,1948292.0,1948292.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p1-caffeine,default,caffeine,1,1,1,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,24600905.96585791,24600905.96585791,24600905.96585791,24600905.96585791,1322855.1702088967,1322855.1702088967,145.5,145.5,306.0,306.0,506.0,506.0,1923286.0,1923286.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p2-ehcache,default,ehcache,1,1,2,initial,primary-all-cycles,5,True,True,True,True,True,23482757.92055727,23482757.92055727,23482757.92055727,23482757.92055727,1521626.0339258697,1521626.0339258697,180.0,180.0,311.0,311.0,561.0,561.0,1835364.0,1835364.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p2-ehcache,default,ehcache,1,1,2,redeploy,primary-all-cycles,5,True,True,True,True,True,23507840.561815243,23507840.561815243,23507840.561815243,23507840.561815243,1705701.0670183594,1705701.0670183594,171.0,171.0,310.0,310.0,541.0,541.0,1838144.0,1838144.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p2-ehcache,default,ehcache,1,1,2,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,23240765.439484768,23240765.439484768,23240765.439484768,23240765.439484768,1703693.505540975,1703693.505540975,180.0,180.0,320.5,320.5,566.0,566.0,1816598.0,1816598.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p2-ehcache,default,ehcache,1,1,2,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,24754518.914448567,24754518.914448567,24754518.914448567,24754518.914448567,1638695.5451916049,1638695.5451916049,166.0,166.0,295.5,295.5,521.0,521.0,1935204.0,1935204.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p3-nostore,default,nostore,1,1,3,initial,primary-all-cycles,5,True,True,False,False,True,100243896.25827317,,100243896.25827317,,12799819.778537517,,40.0,,170.0,,291.0,,7840492.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p3-nostore,default,nostore,1,1,3,redeploy,primary-all-cycles,5,True,True,False,False,True,97940439.87647513,,97940439.87647513,,13112432.552925056,,40.0,,170.0,,301.0,,7661296.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p3-nostore,default,nostore,1,1,3,initial,sensitivity-without-cycle-1,4,True,True,False,False,True,100052656.69567037,,100052656.69567037,,14454967.821245406,,40.0,,170.0,,291.0,,7828214.0,
article1-unified-v4-2-fb3f101b-20260903-000401-default-f01-p3-nostore,default,nostore,1,1,3,redeploy,sensitivity-without-cycle-1,4,True,True,False,False,True,100258093.68512943,,100258093.68512943,,13155682.775590738,,40.0,,170.5,,296.0,,7846638.0,
