scenario,provider,phase,analysisSet,statisticalUnit,forkCount,observedForkCount,invalidBlockForkCount,semanticGatePassForkCount,studyRole,performanceComparisonEligible,performanceIncludedForkCount,operationsPerSecondN,operationsPerSecondMedian,operationsPerSecondMean,operationsPerSecondSampleStandardDeviation,operationsPerSecondFirstQuartile,operationsPerSecondThirdQuartile,operationsPerSecondMinimum,operationsPerSecondMaximum,readOperationsPerSecondN,readOperationsPerSecondMedian,readOperationsPerSecondMean,readOperationsPerSecondSampleStandardDeviation,readOperationsPerSecondFirstQuartile,readOperationsPerSecondThirdQuartile,readOperationsPerSecondMinimum,readOperationsPerSecondMaximum,fillOperationsPerSecondN,fillOperationsPerSecondMedian,fillOperationsPerSecondMean,fillOperationsPerSecondSampleStandardDeviation,fillOperationsPerSecondFirstQuartile,fillOperationsPerSecondThirdQuartile,fillOperationsPerSecondMinimum,fillOperationsPerSecondMaximum,latencyP50NanosN,latencyP50NanosMedian,latencyP50NanosMean,latencyP50NanosSampleStandardDeviation,latencyP50NanosFirstQuartile,latencyP50NanosThirdQuartile,latencyP50NanosMinimum,latencyP50NanosMaximum,latencyP95NanosN,latencyP95NanosMedian,latencyP95NanosMean,latencyP95NanosSampleStandardDeviation,latencyP95NanosFirstQuartile,latencyP95NanosThirdQuartile,latencyP95NanosMinimum,latencyP95NanosMaximum,latencyP99NanosN,latencyP99NanosMedian,latencyP99NanosMean,latencyP99NanosSampleStandardDeviation,latencyP99NanosFirstQuartile,latencyP99NanosThirdQuartile,latencyP99NanosMinimum,latencyP99NanosMaximum,measuredLatencySamplesN,measuredLatencySamplesMedian,measuredLatencySamplesMean,measuredLatencySamplesSampleStandardDeviation,measuredLatencySamplesFirstQuartile,measuredLatencySamplesThirdQuartile,measuredLatencySamplesMinimum,measuredLatencySamplesMaximum
default,cache2k,initial,primary-all-cycles,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,30777021.885762583,30431731.300377015,1308937.3363848971,29372981.18101444,31484616.790545445,28694693.01226229,31716201.646903183,6,30777021.885762583,30431731.300377015,1308937.3363848971,29372981.18101444,31484616.790545445,28694693.01226229,31716201.646903183,6,1625796.7990371776,1713233.6816038375,273971.1977811699,1512349.8231287077,1833127.7313138032,1473344.4727997773,2177691.8121836632,6,150.0,146.83333333333334,5.307227776030219,142.5,150.0,140.0,151.0,6,325.5,327.1666666666667,16.339114623095913,313.5,337.5,310.0,351.0,6,506.0,512.8333333333334,14.972196454317137,501.0,526.0,501.0,532.0,6,2412482.0,2383243.3333333335,106471.95063239269,2296194.0,2474338.0,2242960.0,2479148.0
default,cache2k,initial,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,30414407.621661503,30548543.37123386,1318213.9771121633,29596039.3659603,31724934.579400767,28960541.98925658,32016876.14878314,6,30414407.621661503,30548543.37123386,1318213.9771121633,29596039.3659603,31724934.579400767,28960541.98925658,32016876.14878314,6,1667159.245844709,1776051.785883686,272617.07514150406,1592564.3265324975,1893052.7044702102,1541395.2969995087,2244547.049172718,6,147.5,146.0,5.089204259999789,141.25,150.375,140.0,150.5,6,325.75,325.6666666666667,13.083067937860243,316.0,335.875,310.0,340.5,6,508.5,510.25,15.980456814496888,501.0,516.375,491.0,536.0,6,2390125.0,2392102.6666666665,102719.2965136866,2316640.5,2482974.5,2263670.0,2502626.0
default,cache2k,redeploy,primary-all-cycles,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,30589222.881858967,30568620.622483477,997692.3930752401,29682016.548112255,31445868.8302709,29544166.822933957,31578079.23164408,6,30589222.881858967,30568620.622483477,997692.3930752401,29682016.548112255,31445868.8302709,29544166.822933957,31578079.23164408,6,2075504.426628029,2007806.0731373015,311411.3596624495,1870654.407514303,2227351.6075984114,1488542.4653627332,2326946.7178067504,6,141.0,143.83333333333334,4.792355023020171,141.0,147.75,140.0,150.0,6,325.0,325.3333333333333,10.500793620801558,320.0,330.0,311.0,341.0,6,506.0,507.6666666666667,17.511900715418264,501.0,518.5,481.0,531.0,6,2392238.0,2389814.6666666665,78395.81289499246,2320155.0,2458624.0,2309244.0,2468288.0
default,cache2k,redeploy,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,30692420.11446236,30624241.498876765,900537.976447027,29893213.59418326,31381960.001615282,29568973.50057646,31553017.212336265,6,30692420.11446236,30624241.498876765,900537.976447027,29893213.59418326,31381960.001615282,29568973.50057646,31553017.212336265,6,2177638.307455929,2055619.459749247,292991.423631241,1880402.539083037,2237491.4515831303,1599940.090202576,2339733.604130111,6,143.25,143.83333333333334,3.8427420765212266,140.625,145.5,140.5,150.0,6,325.25,324.75,10.699299042460678,317.875,329.25,311.0,341.0,6,513.5,511.0,20.73644135332772,499.75,519.75,481.0,541.0,6,2399063.0,2396659.0,73669.2041249259,2336680.0,2459691.0,2311316.0,2474726.0
default,caffeine,initial,primary-all-cycles,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,27218274.745988496,26988935.618684284,1051981.3854158563,26661829.700623192,27484253.273695692,25185288.95959526,28262514.45876727,6,27218274.745988496,26988935.618684284,1051981.3854158563,26661829.700623192,27484253.273695692,25185288.95959526,28262514.45876727,6,1556778.497239822,1546028.9315698023,169515.67054326684,1414697.7484793626,1673412.9476847006,1329624.2136269994,1753363.784586635,6,140.0,141.66666666666666,4.08248290463863,140.0,140.0,140.0,150.0,6,285.5,288.8333333333333,16.940090515303236,280.25,290.75,271.0,320.0,6,481.0,484.3333333333333,20.65591117977289,473.5,488.5,461.0,521.0,6,2127494.0,2109932.0,82042.71644454492,2085765.0,2148205.0,1968496.0,2209144.0
default,caffeine,initial,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,27093930.670417424,26825164.58767895,1033744.565298207,26622044.799998704,27492782.9744286,24926089.869929843,27746553.063017555,6,27093930.670417424,26825164.58767895,1033744.565298207,26622044.799998704,27492782.9744286,24926089.869929843,27746553.063017555,6,1640874.8253025054,1613023.6727278482,200561.46163505624,1526441.52515231,1767502.8482900355,1283473.695540411,1814909.4091668772,6,140.0,140.91666666666666,2.2453655975512468,140.0,140.0,140.0,145.5,6,288.0,292.0833333333333,12.5714623917294,285.125,294.25,280.5,315.5,6,481.0,484.25,18.691575642518742,473.5,481.0,470.5,521.0,6,2117727.0,2098498.0,80174.20486914729,2088909.5,2148860.5,1948292.0,2168700.0
default,caffeine,redeploy,primary-all-cycles,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,26580791.132759955,26423161.906824432,1023299.9994188595,26024354.562315896,27082676.17079732,24719726.27702385,27568816.009425186,6,26580791.132759955,26423161.906824432,1023299.9994188595,26024354.562315896,27082676.17079732,24719726.27702385,27568816.009425186,6,1683931.112372728,1628336.2450211716,234346.5744832228,1511379.5192501259,1814679.5383652335,1254486.5142072479,1835544.0626023316,6,140.0,140.16666666666666,0.408248290463863,140.0,140.0,140.0,141.0,6,296.0,292.3333333333333,12.09407568467581,290.25,301.0,270.0,301.0,6,476.0,479.3333333333333,18.34847859269718,463.5,496.0,461.0,501.0,6,2088010.0,2073882.0,79052.13294529123,2054716.0,2124112.0,1932772.0,2154736.0
default,caffeine,redeploy,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,26729679.460948057,26427360.520327915,1102126.40746524,25908560.10579954,27194042.609234557,24600905.96585791,27520214.254800044,6,26729679.460948057,26427360.520327915,1102126.40746524,25908560.10579954,27194042.609234557,24600905.96585791,27520214.254800044,6,1700832.0724542849,1666562.8651737673,269116.8173945959,1453739.8027779008,1897161.166431217,1322855.1702088967,1940877.9652825044,6,140.0,140.91666666666666,2.2453655975512468,140.0,140.0,140.0,145.5,6,293.25,294.0833333333333,10.57079309544306,286.75,303.5,280.5,306.0,6,478.5,480.1666666666667,19.08315138195646,467.25,493.5,456.0,506.0,6,2094759.0,2070794.0,86066.33108016166,2035752.5,2132360.5,1923286.0,2150982.0
default,ehcache,initial,primary-all-cycles,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,24813307.980590854,24693825.051618177,1478350.867444264,23626477.072790936,25934751.762001786,22715674.281386904,26281226.94114405,6,24813307.980590854,24693825.051618177,1478350.867444264,23626477.072790936,25934751.762001786,22715674.281386904,26281226.94114405,6,1582046.434001853,1558810.7191455686,126729.24496163367,1509013.1968755685,1648308.0741699592,1347854.5794302835,1685852.7953799542,6,170.5,172.0,7.183313998427188,170.0,177.75,161.0,180.0,6,296.0,295.8333333333333,20.884603579351623,280.25,311.0,271.0,321.0,6,531.0,522.6666666666666,40.20779360604939,498.5,556.0,461.0,561.0,6,1939328.0,1930520.6666666667,114936.97760889081,1846588.0,2027061.0,1778040.0,2054448.0
default,ehcache,initial,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,25026690.573290505,24706121.796281673,1420336.3128087432,23537024.13510881,25809452.102244914,22863032.61189495,26209475.751602784,6,25026690.573290505,24706121.796281673,1420336.3128087432,23537024.13510881,25809452.102244914,22863032.61189495,26209475.751602784,6,1541692.450150197,1580637.8905611695,135780.4192441765,1494627.572682261,1663204.6743884212,1432731.4567402443,1785062.956998933,6,168.0,171.08333333333334,7.193168054943987,165.5,177.625,165.0,180.0,6,293.25,296.5,21.72325942394465,277.125,316.875,275.5,320.5,6,521.0,525.1666666666666,33.07819019636151,497.25,552.25,491.0,566.0,6,1956014.0,1933019.6666666667,107940.92247459565,1839708.5,2017218.5,1798966.0,2048564.0
